timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742003731170,194,02-Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-58,,true,,3445,975,10,16,null,0,2062,0
1742003733231,194,3-Searrch for Item,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-58,text,true,,3445,975,10,16,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=154FEE87D60B4880EDADEB52C4C774F5,194,0,0
1742003732440,1002,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-60,,true,,6438,1094,10,16,null,0,2,588
1742003732441,801,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-60,text,true,,1452,512,10,15,https://petstore.octoperf.com/,801,0,588
1742003733243,201,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-60,text,true,,4986,582,10,16,https://petstore.octoperf.com/actions/Catalog.action,200,0,0
1742003732697,1031,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-53,,true,,7116,988,11,17,null,0,2,626
1742003732698,825,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-53,text,true,,1452,459,10,16,https://petstore.octoperf.com/,825,0,626
1742003733525,206,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-53,text,true,,5664,529,11,17,https://petstore.octoperf.com/actions/Catalog.action,199,0,0
1742003731667,193,02-Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-57,,true,,3442,972,11,17,null,0,2035,0
1742003733702,193,3-Searrch for Item,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-57,text,true,,3442,972,11,17,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=154FEE87D60B4880EDADEB52C4C774F5,193,0,0
1742003732973,967,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-59,,true,,6438,1094,11,17,null,0,2,592
1742003732974,779,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-59,text,true,,1452,512,11,17,https://petstore.octoperf.com/,779,0,592
1742003733755,188,2-Enter the store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-59,text,true,,4986,582,11,17,https://petstore.octoperf.com/actions/Catalog.action,188,0,0
1742003733315,817,02_01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario2-View Details- jp@gc - Ultimate Thread Group 2-26,,true,,5664,529,5,17,null,0,2,606
1742003733316,817,02_01_OpenURL,200,,Scenario2-View Details- jp@gc - Ultimate Thread Group 2-26,text,true,,5664,529,5,17,https://petstore.octoperf.com/actions/Catalog.action,816,0,606
1742003733186,1030,01- Open URL,200,"Number of samples in transaction : 2, number of failing samples : 0",Scenario1-Search- jp@gc - Ultimate Thread Group 1-52,,true,,7116,988,12,18,null,0,3,620
1742003733187,819,1-Open Pets Store,200,,Scenario1-Search- jp@gc - Ultimate Thread Group 1-52,text,true,,1452,459,11,17,https://petstore.octoperf.com/,819,0,620
